ID,Value,E,F,E1,F1,Column 1
Нижегородская область,1,Без даты,http://publication.pravo.gov.ru/Document/View/5200202003180001,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Новгородская область,1,Без даты,https://rg.ru/2020/03/23/novgorod-ukaz127-reg-dok.html,2020-03-25,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Новосибирская область,1,Без даты,http://publication.pravo.gov.ru/Document/View/5400202003180001,2020-03-20,досуговые мероприятий,"с любым числом участников, не упоминаются публичные мероприятия"
Омская область,50,Без даты,http://publication.pravo.gov.ru/File/GetFile/5500202003260001?type=pdf,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Оренбургская область,50,Без даты,http://publication.pravo.gov.ru/File/GetFile/5600202003240028?type=pdf,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Орловская область,1,"До особого распоряжения",https://orel-region.ru/sendfile.php?id=28861,2020-03-20,"массовые мероприятия, в том числе ..., публичные, ...","с любым числом участников, упоминаются публичные мероприятия"
Пензенская область,1,15 апреля,http://publication.pravo.gov.ru/Document/View/5800202003160001,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Пермский край,50,«До особого указания»,https://www.permkrai.ru/antivirus/18.pdf,2020-03-29,общественные и досуговые мероприятия,мероприятия с участием более одного человека
Приморский край,1,Без даты,http://publication.pravo.gov.ru/Document/View/2500202003190001,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Псковская область,50,12 апреля,http://pravo.pskov.ru/?view=032018091903202001,2020-03-29,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Республика Адыгея,50,Без даты,http://publication.pravo.gov.ru/Document/View/0100202003190005,2020-03-24,"предлагается ограничить также любые мероприятия с участием иностранных граждан, проводимых иностранными государствами и "иные массовые мероприятия" ",мероприятия с участием более одного человека
Республика Алтай,1,30 апреля,https://www.altai-republic.ru/upload/iblock/198/144-r-2020.pdf,2020-03-21,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Республика Башкортостан,250,Без даты,http://publication.pravo.gov.ru/Document/View/0200202003240002,2020-03-24,"деловые, культурные мероприятия",мероприятия с участием более одного человека
Республика Бурятия,1,«До улучшения эпидемиологической обстановки»,https://egov-buryatia.ru/press_center/news/detail.php?ID=60117,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Республика Дагестан,1,Без даты,http://publication.pravo.gov.ru/Document/View/0500202003180001,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Республика Ингушетия,1,1 мая,http://www.ingushetia.ru/news/v_ingushetii_pereneseny_vse_massovye_meropriyatiya_v_tselyakh_preduprezhdeniya_koronavirusa/,2020-03-20,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Республика Калмыкия,50,Без даты,http://kalmregion.ru/upload/iblock/574/77_r-ot-18.03.2020.pdf,2020-03-24,массовые мероприятия,мероприятия с участием более одного человека
Республика Карелия,50,Без даты,https://www.gov.karelia.ru/news/17-03-2020-kulturno-massovye-meropriyatiya-v-karelii-vozobnovyatsya-posle-otmeny-rezhima-povyshennoy-gotovnosti/,2020-03-28,культурно-массовые мероприятия,мероприятия с участием более одного человека
Республика Коми,30,Без даты,https://nevnov.ru/region/Syktyvkar/780220-v-respublike-komi-vvoditsya-zapret-na-massovye-meropriyatiya,2020-03-28,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Республика Крым,1,«До особого распоряжения»,https://rg.ru/2020/03/17/krym-ukaz67-reg-dok.html,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Республика Марий Эл,1,15 апреля,http://mari-el.gov.ru/minsport/SiteAssets/Pages/%d0%9e-%d0%b7%d0%b0%d0%bf%d1%80%d0%b5%d1%82%d0%b5-%d0%bf%d1%80%d0%be%d0%b2%d0%b5%d0%b4%d0%b5%d0%bd%d0%b8%d1%8f-%d0%bd%d0%b0-%d1%82%d0%b5%d1%80%d1%80%d0%b8%d1%82%d0%be%d1%80%d0%b8%d0%b8-%d0%a0%d0%b5%d1%81%d0%bf%d1%83%d0%b1%d0%bb%d0%b8%d0%ba-%d0%9c%d0%b0%d1%80%d0%b8%d0%b9-%d0%ad%d0%bb-%d1%84%d0%b8%d0%b7%d0%ba%d1%83%d0%bb%d1%8c%d1%82%d1%83%d1%80%d0%bd%d1%8b%d1%85-%d0%bc%d0%b5%d1%80%d0%be%d0%bf%d1%80%d0%b8%d1%8f%d1%82%d0%b8%d0%b9-%d0%b8-%d1%81%d0%bf%d0%be%d1%80%d1%82%d0%b8%d0%b2%d0%bd%d1%8b%d1%85-%d0%bc%d0%b5%d1%80%d0%be%d0%bf%d1%80%d0%b8%d1%8f%d1%82%d0%b8%d0%b9-/%d0%a3%d0%ba%d0%b0%d0%b7%20%d0%93%d0%bb%d0%b0%d0%b2%d1%8b%20%d0%a0%d0%b5%d1%81%d0%bf%d1%83%d0%b1%d0%bb%d0%b8%d0%ba%d0%b8%20%d0%9c%d0%b0%d1%80%d0%b8%d0%b9%20%d0%ad%d0%bb%20%d0%be%d1%82%2017.03.2020%20%e2%84%9639.pdf,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Республика Мордовия,50,Без даты,http://publication.pravo.gov.ru/Document/View/1300202003180001,2020-03-29,массовые мероприятия,мероприятия с участием более одного человека
Республика Саха (Якутия),1,10 апреля,https://www.sakha.gov.ru/files/front/download/id/2281973,2020-03-29,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Республика Северная Осетия — Алания,1,Без даты,http://alania.gov.ru/index.php/documents/8416,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
